id,title,main_artist,acousticness,danceability,energy,duration_ms,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_min
6Nle9hKrkL1wQpwNfEkxjh,Chanel,Frank Ocean,0.874,0.776,0.503,210285,0.0,0,0.112,-5.732,0,0.237,110.134,4,0.473,3.50475
2jJ09jJoW3EYrK5zYLcF8s,Господин собака,Husky,0.285,0.716,0.81,266565,3.47e-05,4,0.101,-6.129,1,0.218,142.018,4,0.832,4.44275
1Gqu7nWHk72fKtVT9AGobQ,Отопление,Husky,0.406,0.783,0.544,271585,0.000126,9,0.0709,-7.283,1,0.349,79.016,4,0.288,4.526416666666667
6kgw7PUCGNd9hq61skYJ38,Колыбельная,Oxxxymiron,0.00426,0.578,0.854,197595,1.8e-05,11,0.0989,-5.034,0,0.172,165.057,4,0.278,3.29325
7ggFpA3AO2eHLSdqDZu9gZ,Сигаретка без кнопки,pyrokinesis,0.437,0.766,0.493,183433,0.0,6,0.0869,-5.404,1,0.132,139.826,4,0.525,3.0572166666666667
2diFaat3zFhJBtRiJW3GJ9,Моя милая пустота,pyrokinesis,0.624,0.728,0.772,219000,0.0,9,0.145,-3.953,1,0.17,79.891,4,0.685,3.65
6nOy2rPjMbPa04h31VpEcl,АБЬЮЗЕР,Playingtheangel,0.0369,0.653,0.757,248889,0.0,1,0.119,-5.273,1,0.0555,108.03,4,0.217,4.14815
67XPtZfnZmcYmpl01DogK2,Горсвет,Loqiemean,0.297,0.622,0.947,234102,0.0,0,0.716,-3.216,0,0.126,105.103,4,0.662,3.9017
3zVNn73laZ5wp4jJ8nvmZR,Милый Прадед,Loqiemean,0.563,0.617,0.83,229198,0.0,2,0.0982,-4.012,1,0.183,122.074,5,0.393,3.8199666666666667
7t4y1wPWVpCfoBFhJFQ9AV,ДО ОБЕДА,104,0.157,0.769,0.435,165536,0.00786,6,0.398,-8.683,0,0.179,140.033,4,0.506,2.7589333333333332
3QFAehKaZBq1UbK6Mp51Sl,без названия,maslo chernogo tmina,0.634,0.649,0.583,138795,1.5e-05,9,0.11,-7.77,0,0.681,82.757,4,0.168,2.31325
17oDXwck56YE4E8M8QIOdN,clip,maslo chernogo tmina,0.398,0.749,0.368,120000,0.595,1,0.113,-6.723,1,0.403,79.886,4,0.183,2.0
5ZZO3xeGlJ3rtDc8wgrlAk,что для тебя красота,maslo chernogo tmina,0.856,0.821,0.329,115238,0.538,9,0.0621,-11.27,0,0.191,139.998,4,0.405,1.9206333333333334
5S6FXPewVnIx5jEBxMJJZD,Убей меня,Husky,0.091,0.789,0.609,133846,0.121,0,0.206,-10.621,0,0.077,129.997,4,0.79,2.230766666666667
